citation_key,bib_title,bib_authors,bib_year,bib_venue,bib_doi,source_file,source_title,source_authors,source_year,source_venue,source_doi,format,page_count,source_checksum,identity_status,readability_status,admissible,notes
awad2017ensemble,Ensemble Sinusoidal Differential Covariance Matrix Adaptation with L-SHADE for Solving CEC 2017 Benchmark Problems,"Awad, Noor H. and Ali, Mostafa Z. and Suganthan, Ponnuthurai N.",2017,Proceedings of the 2017 IEEE Congress on Evolutionary Computation,10.1109/CEC.2017.7969336,awad2017ensemble.pdf,Ensemble Sinusoidal Differential Covariance Matrix Adaptation with Euclidean Neighborhood for Solving CEC2017 Benchmark Problems,"Awad, Noor H. and Ali, Mostafa Z. and Suganthan, Ponnuthurai N.",2017,Proceedings of the 2017 IEEE Congress on Evolutionary Computation,10.1109/CEC.2017.7969336,pdf,8,9fb369d7a34a8a9fd84b4f680c96e0feac517d25e94be61d67017116e6be64ee,minor_metadata_mismatch,readable,yes,"Identity certain: same authors (Awad, Ali, Suganthan), CEC 2017, and subject (LSHADE-cnEpSin winner paper). Bib TITLE wording is wrong: source title is 'Ensemble Sinusoidal Differential Covariance Matrix Adaptation with Euclidean Neighborhood for Solving CEC2017 Benchmark Problems' - bib says 'with L-SHADE'. Resolution: adopt the source title."
brest2017single,Single Objective Real-Parameter Optimization: Algorithm jSO,"Brest, Janez and Maucec, Mirjam Sepesy and Boskovic, Borko",2017,Proceedings of the 2017 IEEE Congress on Evolutionary Computation,10.1109/CEC.2017.7969456,brest2017single.pdf,Single Objective Real-Parameter Optimization: Algorithm jSO,"Brest, Janez and Maucec, Mirjam Sepesy and Boskovic, Borko",2017,Proceedings of the 2017 IEEE Congress on Evolutionary Computation,10.1109/CEC.2017.7969456,pdf,8,943d52360c969d5105277a3aa2f0c228024768df890af34054074c1709b7de89,verified,readable,yes,Verified; 'Maucec' diacritic splits in text extraction (artifact only).
mohamed2017lshadespacma,LSHADE with Semi-Parameter Adaptation Hybrid with CMA-ES for Solving CEC 2017 Benchmark Problems,"Mohamed, Ali Wagdy and Hadi, Anas A. and Fattouh, Ali M. and Jambi, Kamal M.",2017,Proceedings of the 2017 IEEE Congress on Evolutionary Computation,10.1109/CEC.2017.7969307,mohamed2017lshadespacma.pdf,LSHADE with Semi-Parameter Adaptation Hybrid with CMA-ES for Solving CEC 2017 Benchmark Problems,"Mohamed, Ali Wagdy and Hadi, Anas A. and Fattouh, Ali M. and Jambi, Kamal M.",2017,Proceedings of the 2017 IEEE Congress on Evolutionary Computation,10.1109/CEC.2017.7969307,pdf,8,a15cd9421f3be6904ded1f8becd2c8d2a2913c51fa4586d45830c6365367f118,verified,readable,yes,
chen2020cbo,An Enhanced Colliding Bodies Optimization and Its Application,"Chen, Debao and Lu, Renquan and Li, Suwen and Zou, Feng and Liu, Yajun",2020,Artificial Intelligence Review,10.1007/s10462-019-09691-x,chen2020cbo.pdf,An Enhanced Colliding Bodies Optimization and Its Application,"Chen, Debao and Lu, Renquan and Li, Suwen and Zou, Feng and Liu, Yajun",2020,Artificial Intelligence Review,10.1007/s10462-019-09691-x,pdf,60,2a5304a90dfa1bbb1923437af386b9075f241a91fc498cf861cdf732bc4c0ccb,verified,readable,yes,"Verified via exact title, all authors, on-page DOI 10.1007/s10462-019-09691-x; (c) 2019 online-first, bib cites the 2020 issue 53(2) - consistent."
kaveh2021pgo,Plasma Generation Optimization: A New Physically-Based Metaheuristic Algorithm for Solving Constrained Optimization Problems,"Kaveh, Ali and Akbari, Hamza and Hosseini, Saeed Mahmoudi",2021,Engineering Computations,10.1108/EC-05-2020-0235,kaveh2021pgo.pdf,Plasma Generation Optimization: A New Physically-Based Metaheuristic Algorithm for Solving Constrained Optimization Problems,Ali Kaveh and Hossein Akbari and Seyed Milad Hosseini,2021,Engineering Computations,10.1108/EC-05-2020-0235,pdf,53,fb5c9da596798e7b75a60b0419954017b6b20a10a872d5a095662a71286f3720,minor_metadata_mismatch,readable,yes,"Identity certain (exact title; Engineering Computations; DOI 10.1108/EC-05-2020-0235). Bib given-name errors resolved from source: authors are Ali Kaveh, Hossein Akbari, Seyed Milad Hosseini (bib: 'Hamza Akbari', 'Saeed Mahmoudi Hosseini')."
awad2016problem,Problem Definitions and Evaluation Criteria for the CEC 2017 Special Session and Competition on Single Objective Real-Parameter Numerical Optimization,"Awad, N. H. and Ali, M. Z. and Liang, J. J. and Qu, B. Y. and Suganthan, P. N.",2016,"Nanyang Technological University, Singapore",,awad2016problem.pdf,Problem Definitions and Evaluation Criteria for the CEC 2017 Special Session and Competition on Single Objective Real-Parameter Numerical Optimization,N. H. Awad and M. Z. Ali and P. N. Suganthan and J. J. Liang and B. Y. Qu,2016,"Technical Report, Nanyang Technological University Singapore / Jordan Univ. of Science and Technology / Zhengzhou University",,pdf,34,b69f52f047f6bca888787ac19f3f1224293000c0a2446bdd5c355795efa9684a,verified,readable,yes,"RESOLVED CR-0005 (2026-07-10). Correct bound-constrained CEC2017 definitions report now supplied (34 pp.). Content certified: title 'Single Objective Real-Parameter Numerical Optimization' (NO 'Constrained'); F1-F30 with unimodal/multimodal/hybrid/composition categories; search range [-100,100]; MaxFES=10000*D; NO constraint g/h functions; 'Modified on October 15th 2016'. Title-page author order Awad, Ali, Suganthan, Liang, Qu; bib order (Awad, Ali, Liang, Qu, Suganthan) is the conventional citation order, acceptable. Previously major_mismatch (wrong doc: Wu/Mallipeddi/Suganthan constrained report, sha 5a18eb76...)."
das2011cec2011,Problem Definitions and Evaluation Criteria for the CEC 2011 Competition on Testing Evolutionary Algorithms on Real World Optimization Problems,"Das, Swagatam and Suganthan, Ponnuthurai Nagaratnam",2011,Jadavpur University and Nanyang Technological University,,das2011cec2011.pdf,Problem Definitions and Evaluation Criteria for CEC 2011 Competition on Testing Evolutionary Algorithms on Real World Optimization Problems,"Das, Swagatam and Suganthan, Ponnuthurai Nagaratnam",2011,Jadavpur University and Nanyang Technological University,,pdf,42,b0b1242b7fb50cc9ced56eae328febe1bbcb4e82009d41409454cf65e160eb7f,verified,readable,yes,"Verified; source title reads '...Criteria for CEC 2011 Competition...' (bib inserts 'the') - trivial wording difference only. Das and Suganthan, 2011 confirmed."
li2013lsgo,Benchmark Functions for the CEC'2013 Special Session and Competition on Large-Scale Global Optimization,"Li, Xiaodong and Tang, Ke and Omidvar, Mohammad N. and Yang, Zhenyu and Qin, Kai",2013,"RMIT University, Melbourne, Australia",,li2013lsgo.pdf,Benchmark Functions for the CEC'2013 Special Session and Competition on Large-Scale Global Optimization,"Xiaodong Li, Ke Tang, Mohammad N. Omidvar, Zhenyu Yang, and Kai Qin",2013,"Technical report; RMIT University (Melbourne), University of Science and Technology of China (Hefei) and National University of Defense Technology (Changsha); dated December 24, 2013",,pdf,23,0f377901bc7e16e0a702a45a26315daf03ad89344b7b89b28121efc3bb07b169,verified,readable,yes,"CR-0020 / ruling R8, added 2026-07-29. Title, authors, affiliations and date read off the PDF title page (p. 1); no DOI is printed and CrossRef holds no record, so bib_doi is deliberately empty. bib_venue carries RMIT (first affiliation); the USTC and NUDT affiliations are recorded in source_venue and in the evidence card. DISTINCT from liang2013cec2013 (bound-constrained CEC2013)."
yue2020cec2020,Problem Definitions and Evaluation Criteria for the CEC 2020 Special Session and Competition on Single Objective Bound Constrained Numerical Optimization,"Yue, C. T. and Price, K. V. and Suganthan, P. N. and Liang, J. J. and Ali, M. Z. and Qu, B. Y. and Awad, N. H. and Biswas, Partha P.",2019,"Computational Intelligence Laboratory, Zhengzhou University, Zhengzhou China and Nanyang Technological University, Singapore",,yue2020cec2020.pdf,Problem Definitions and Evaluation Criteria for the CEC 2020 Special Session and Competition on Single Objective Bound Constrained Numerical Optimization,"C. T. Yue, K. V. Price, P. N. Suganthan, J. J. Liang, M. Z. Ali, B. Y. Qu, N. H. Awad and Partha P Biswas",2019,"Technical Report 201911, Computational Intelligence Laboratory, Zhengzhou University, Zhengzhou China and Technical Report, Nanyang Technological University, Singapore; November 2019",,pdf,17,e230f6ce01081635f2eefbf07c12700bebac25a1abee0cb6867f091d71e66247,verified,readable,yes,"CR-0020 / ruling R8, added 2026-07-29. The bib entry pre-existed in references.bib and matches the title page verbatim, including the dual-institution string and number 201911; only the lockstep rows were missing. No DOI printed. Report dated November 2019 for the CEC 2020 competition -- bib_year 2019 is the report's own date and the key's 2020 is the competition year; not a mismatch."
molina2018shadeils,SHADE with Iterative Local Search for Large-Scale Global Optimization,"Molina, Daniel and LaTorre, Antonio and Herrera, Francisco",2018,2018 IEEE Congress on Evolutionary Computation (CEC),10.1109/CEC.2018.8477755,molina2018shadeils.pdf,SHADE with Iterative Local Search for Large-Scale Global Optimization,"Daniel Molina, Antonio LaTorre, Francisco Herrera",2018,2018 IEEE Congress on Evolutionary Computation (CEC),,pdf,8,b87c53bf23092d64c1fc7c421d681afa6d5028963e710de6e66ddc2290c56bc5,verified,readable,yes,"CR-0020 / ruling R8, added 2026-07-29. Title, authors and affiliations read off the PDF title page; venue string from the running footer on PDF pp. 2-8; ISBN 978-1-5090-6017-7 printed in the p. 1 footer. The PDF prints no DOI and no page folios: doi 10.1109/CEC.2018.8477755 and pages 1--8 are CrossRef-verified 2026-07-28, hence source_doi is empty while bib_doi is populated."
latorre2013mos,Large Scale Global Optimization: Experimental Results with MOS-based Hybrid Algorithms,"LaTorre, Antonio and Muelas, Santiago and Pena, Jose-Maria",2013,Proceedings of the 2013 IEEE Congress on Evolutionary Computation,10.1109/CEC.2013.6557901,latorre2013mos.pdf,Large Scale Global Optimization: Experimental Results with MOS-based Hybrid Algorithms,"Antonio LaTorre, Santiago Muelas, Jose-Maria Pena",2013,not printed on the PDF,,pdf,8,e71952bd40cd9eb519970458edc00a20e33843b02420d9d975cfcfdaf4817257,verified,readable,yes,"CR-0020 / ruling R8, added 2026-07-29. Title (title-page casing preserved), authors and affiliations (Universidad Politecnica de Madrid; LaTorre also Instituto Cajal, CSIC) read off the PDF title page. The PDF prints NO venue line, NO DOI and NO page folios: doi 10.1109/CEC.2013.6557901 and pages 2742--2749 are CrossRef-verified 2026-07-28 and independently corroborated by reference [7] of molina2018shadeils ('2013 IEEE Congress on Evolutionary Computation (CEC 2013), Cancun, Mexico, 2013, pp. 2742-2749'). The bib booktitle follows the house precedent for this venue set by tanabe2013shade. Author names carry diacritics on the title page (Jose-Maria Pena); the bib holds them as Pe{~n}a, Jos{'e}-Mar{'i}a with LaTeX accent macros, transliterated to ASCII in this register. DISTINCT from latorre2012mos (earlier MOS paper, not an admitted key)."
liang2013cec2013,Problem Definitions and Evaluation Criteria for the CEC 2013 Special Session on Real-Parameter Optimization,"Liang, J. J. and Qu, B. Y. and Suganthan, P. N.",2013,Zhengzhou University and Nanyang Technological University,,liang2013cec2013.pdf,Problem Definitions and Evaluation Criteria for the CEC 2013 Special Session on Real-Parameter Optimization,"Liang, J. J. and Qu, B. Y. and Suganthan, P. N.",2013,Zhengzhou University and Nanyang Technological University,,pdf,40,8f0de88155741b81ca1263d74f910fdaa0e08dfb07fdcb0324ed699635b5019c,verified,readable,yes,
wilcoxon1945individual,Individual Comparisons by Ranking Methods,"Wilcoxon, Frank",1945,Biometrics Bulletin,10.2307/3001968,wilcoxon1945individual.pdf,Individual Comparisons by Ranking Methods,"Wilcoxon, Frank",1945,Biometrics Bulletin,10.2307/3001968,pdf,5,34215448cbacd653211ba4282734d8ee0066f5902e6b062257a31f9984d01290,verified,readable,yes,
friedman1937use,The Use of Ranks to Avoid the Assumption of Normality Implicit in the Analysis of Variance,"Friedman, Milton",1937,Journal of the American Statistical Association,10.1080/01621459.1937.10503522,friedman1937use.pdf,The Use of Ranks to Avoid the Assumption of Normality Implicit in the Analysis of Variance,"Friedman, Milton",1937,Journal of the American Statistical Association,10.1080/01621459.1937.10503522,pdf,28,c618bd41568a11325a0ecf4b299abfc8f807ea47f698ef6ac1a54199dee77647,verified,readable,yes,
holm1979simple,A Simple Sequentially Rejective Multiple Test Procedure,"Holm, Sture",1979,Scandinavian Journal of Statistics,,holm1979simple.pdf,A Simple Sequentially Rejective Multiple Test Procedure,"Holm, Sture",1979,Scandinavian Journal of Statistics,,pdf,7,2918f8b5a994a1c149104d61502d1d94fcfc9e5e9a34f4d9ceabb751bbf7cd2a,verified,readable,yes,
del2019bio,Bio-Inspired Computation: Where We Stand and What's Next,"Del Ser, Javier and Osaba, Eneko and Molina, Daniel and Yang, Xin-She and Salcedo-Sanz, Sancho and Camacho, David and Das, Swagatam and Suganthan, Ponnuthurai Nagaratnam and Coello Coello, Carlos A. and Herrera, Francisco",2019,Swarm and Evolutionary Computation,10.1016/j.swevo.2019.04.008,del2019bio.pdf,Bio-Inspired Computation: Where We Stand and What's Next,"Del Ser, Javier and Osaba, Eneko and Molina, Daniel and Yang, Xin-She and Salcedo-Sanz, Sancho and Camacho, David and Das, Swagatam and Suganthan, Ponnuthurai Nagaratnam and Coello Coello, Carlos A. and Herrera, Francisco",2019,Swarm and Evolutionary Computation,10.1016/j.swevo.2019.04.008,pdf,85,bc757e03728955e1bf448037b3c45df619560783369ec1fd052077556761ef99,verified,readable,yes,
hussain2019metaheuristic,Metaheuristic Research: A Comprehensive Survey,"Hussain, Kashif and Mohd Salleh, Mohd Najib and Cheng, Shi and Shi, Yuhui",2019,Artificial Intelligence Review,10.1007/s10462-017-9605-z,hussain2019metaheuristic.pdf,Metaheuristic Research: A Comprehensive Survey,"Hussain, Kashif and Mohd Salleh, Mohd Najib and Cheng, Shi and Shi, Yuhui",2019,Artificial Intelligence Review,10.1007/s10462-017-9605-z,pdf,43,83512295350e91a5839acb0a46ae8de70ea40a9a652248c7019605102511e31a,verified,readable,yes,"Verified via exact title, all authors, on-page DOI 10.1007/s10462-017-9605-z; (c) 2018 online-first, bib cites the 2019 issue 52(4) - consistent."
wolpert1997nfl,No Free Lunch Theorems for Optimization,"Wolpert, David H. and Macready, William G.",1997,IEEE Transactions on Evolutionary Computation,10.1109/4235.585893,wolpert1997nfl.pdf,No Free Lunch Theorems for Optimization,"Wolpert, David H. and Macready, William G.",1996 (preprint date),(not stated in local file; bib cites IEEE TEVC 1(1)),(not printed in local file),pdf,32,cba4647681eb73d5511a126e0c547e711c26b7db5be76f1ebf6116c03ff92340,verified,readable,yes,"Local file is the PREPRINT version dated December 31, 1996 (IBM Almaden / Santa Fe Institute affiliation block); IEEE TEVC 1(1) 67-82 venue and pagination not confirmable from the file. Title and authors confirmed (old DVI extraction is noisy but legible). Locators must use preprint pagination."
nelder1965simplex,A Simplex Method for Function Minimization,"Nelder, John A. and Mead, Roger",1965,The Computer Journal,10.1093/comjnl/7.4.308,nelder1965simplex.pdf,A Simplex Method for Function Minimization,"Nelder, John A. and Mead, Roger",1965,The Computer Journal,10.1093/comjnl/7.4.308,pdf,6,b80a5b1ac35ef3bb1faac1a5c994c08ab0295fb155089483402aa4469a12ae8d,verified,image_only_no_text_layer,yes,"Image-only scan: pypdf opens the file (6 pages) but NO text layer exists on any page (0 extractable characters). Identity verified VISUALLY from the extracted page-1 scan image: 'A simplex method for function minimization', by J. A. Nelder and R. Mead; 6 pages consistent with Comput. J. 7(4) 308-313. Text-quote locators are unavailable; evidence cards must cite page/figure positions from visual reading. An OCR or text-native copy is recommended before heavy citation use."
gao2012implementing,Implementing the Nelder-Mead Simplex Algorithm with Adaptive Parameters,"Gao, Fuchang and Han, Lixing",2012,Computational Optimization and Applications,10.1007/s10589-010-9329-3,gao2012implementing.pdf,Implementing the Nelder-Mead Simplex Algorithm with Adaptive Parameters,"Gao, Fuchang and Han, Lixing",2012,Computational Optimization and Applications,10.1007/s10589-010-9329-3,pdf,19,e93ba9f97eb80376c120a91eb5236136c60a6c359514894826601780db0c50bd,verified,readable,yes,"Verified via exact title, authors, on-page DOI 10.1007/s10589-010-9329-3; online-first 2010 header, bib cites the 2012 issue 51(1) - consistent."
kolda2003directsearch,Optimization by Direct Search: New Perspectives on Some Classical and Modern Methods,"Kolda, Tamara G. and Lewis, Robert Michael and Torczon, Virginia",2003,SIAM Review,10.1137/S003614450242889,kolda2003directsearch.pdf,Optimization by Direct Search: New Perspectives on Some Classical and Modern Methods,"Kolda, Tamara G. and Lewis, Robert Michael and Torczon, Virginia",2003,SIAM Review,10.1137/S0036144502428893,pdf,98,9afcf2759a2442304a479455af51154f67def07e80441c53fbb9b01fa5573110,minor_metadata_mismatch,readable,yes,Identity certain (exact title; SIAM Review 45(3) 385-482). Bib DOI is truncated: 10.1137/S003614450242889 is missing the final digit - source prints DOI 10.1137/S0036144502428893. Resolution: adopt source DOI.
auer2002finite,Finite-Time Analysis of the Multiarmed Bandit Problem,"Auer, Peter and Cesa-Bianchi, Nicolo and Fischer, Paul",2002,Machine Learning,10.1023/A:1013689704352,auer2002finite.pdf,Finite-Time Analysis of the Multiarmed Bandit Problem,"Auer, Peter and Cesa-Bianchi, Nicolo and Fischer, Paul",2002,Machine Learning,10.1023/A:1013689704352,pdf,22,4533abda119fc3ea5dfa11ecc5f379e2a8bfb2c07621b7a68244123b79284656,verified,readable,yes,
fialho2010adaptive,Adaptive Operator Selection with Dynamic Multi-Armed Bandits,"Fialho, Alvaro and Da Costa, Luis and Schoenauer, Marc and Sebag, Michele",2008,Proceedings of the 10th Annual Conference on Genetic and Evolutionary Computation,10.1145/1389095.1389272,fialho2010adaptive.pdf,Adaptive Operator Selection with Dynamic Multi-Armed Bandits,Luis Da Costa and Alvaro Fialho and Marc Schoenauer and Michele Sebag,2008,Proceedings of the 10th Annual Conference on Genetic and Evolutionary Computation (GECCO 2008),10.1145/1389095.1389272,pdf,8,2dd5145f8a302fb28b3bb8f1440c0fa315b7ad48dd0063dbd218bc7cc91de69e,minor_metadata_mismatch,readable,yes,"Identity certain (exact title; GECCO 2008 paper). Bib metadata errors resolved from source: author ORDER wrong - source lists Luis Da Costa first (Da Costa, Fialho, Schoenauer, Sebag), bib lists Fialho first; entry is typed @article with the GECCO proceedings name in the journal field (should be @inproceedings); bib year field 2008 matches the source while the citation key says 2010. DOI not printed in file."
yao1999evolutionary,Evolutionary Programming Made Faster,"Yao, Xin and Liu, Yong and Lin, Guangming",1999,IEEE Transactions on Evolutionary Computation,10.1109/4235.771163,yao1999evolutionary.pdf,Evolutionary Programming Made Faster,"Yao, Xin and Liu, Yong and Lin, Guangming",1999,IEEE Transactions on Evolutionary Computation,10.1109/4235.771163,pdf,21,92e699d23eeec18eb74f6322301c9a362c9a3ef841a83879312e7e591d146b32,verified,readable,yes,
jones1995fitness,Fitness Distance Correlation as a Measure of Problem Difficulty for Genetic Algorithms,"Jones, Terry and Forrest, Stephanie",1995,Proceedings of the 6th International Conference on Genetic Algorithms,,jones1995fitness.pdf,Fitness Distance Correlation as a Measure of Problem Difficulty for Genetic Algorithms,"Jones, Terry and Forrest, Stephanie",1995,Santa Fe Institute Working Paper 1995-02-022,,pdf,10,5016d027622f7b420b0bd4ac2d59acf50057a1451fd1f81f16e4de8896efbf09,minor_metadata_mismatch,readable,yes,"Identity of the work certain (title and both authors match). VERSION/VENUE mismatch: local file self-identifies as Santa Fe Institute Working Paper 1995-02-022, while the bib cites the ICGA-6 proceedings version (Morgan Kaufmann, pp. 184-192). Working-paper pagination differs from the cited pages; locators must use the working-paper copy. Text extraction is character-spaced but legible."
david_order_statistics,Order Statistics,"David, H. A. and Nagaraja, H. N.",2003,Wiley,10.1002/0471722162,david_order_statistics.pdf,Order Statistics,"David, H. A. and Nagaraja, H. N.",2003,Wiley,10.1002/0471722162,pdf,12,fc190cb81f54fddc8e6729eb477ab250cafc0762bcc63da461a7d11d6029bb36,verified,partial_text_title_page_only,yes,"Partial excerpt of the book (12 pages). Title page confirms 'Order Statistics, Third Edition, H. A. David and H. N. Nagaraja, (c) 2003 John Wiley & Sons'. Only the title page has an extractable text layer; the remaining 11 pages extract no text - visual reading required for locators, and citation use is limited to the excerpted material (Theorem 1 proof-sketch support)."
